s (1,1) 241
s (2,1) 82
s (3,1) 803
s (4,1) 48
s (5,1) 399
s (6,1) 65
s (7,1) 473
s (8,1) 102
s (9,1) 814
s (10,1) 347
s (11,1) 562
s (12,1) 94
s (13,1) 160
s (14,1) 24
s (15,1) 565
s (16,1) 514
s (17,1) 715
s (18,1) 568
s (19,1) 81
s (20,1) 216
s (21,1) 750
s (22,1) 77
s (23,1) 507
s (24,1) 305
s (25,1) 858
s (26,1) 9
s (27,1) 348
s (28,1) 798
s (29,1) 578
s (30,1) 417
s (31,1) 843
s (32,1) 173
s (33,1) 737
s (34,1) 601
s (35,1) 938
s (36,1) 346
s (37,1) 759
s (38,1) 602
s (39,1) 182
s (40,1) 721
s (41,1) 727
s (42,1) 598
s (43,1) 232
s (44,1) 287
s (45,1) 920
s (46,1) 100
s (47,1) 508
s (48,1) 808
s (49,1) 262
s (50,1) 599
s (51,1) 259
s (52,1) 682
s (53,1) 468
s (54,1) 249
s (55,1) 545
s (56,1) 665
s (57,1) 185
s (58,1) 509
s (59,1) 380
s (60,1) 468
s (61,1) 276
s (62,1) 249
s (63,1) 863
s (64,1) 613
s (65,1) 868
s (66,1) 122
s (67,1) 419
s (68,1) 758
s (69,1) 665
s (70,1) 714
s (71,1) 609
s (72,1) 863
s (73,1) 233
s (74,1) 156
s (75,1) 446
s (76,1) 684
s (77,1) 688
s (78,1) 920
s (79,1) 875
s (80,1) 290
s (81,1) 39
s (82,1) 650
s (83,1) 768
s (84,1) 658
s (85,1) 807
s (86,1) 189
s (87,1) 829
s (88,1) 918
s (89,1) 402
s (90,1) 997
s (91,1) 285
s (92,1) 553
s (93,1) 887
s (94,1) 538
s (95,1) 343
s (96,1) 244
s (97,1) 736
s (98,1) 824
s (99,1) 18
s (100,1) 2
s (101,1) 217
s (102,1) 195
s (103,1) 492
s (104,1) 948
s (105,1) 560
s (106,1) 656
s (107,1) 511
s (108,1) 329
s (109,1) 267
s (110,1) 463
s (111,1) 480
s (112,1) 781
s (113,1) 18
s (114,1) 501
s (115,1) 518
s (116,1) 43
s (117,1) 914
s (118,1) 854
s (119,1) 548
s (120,1) 357
s (121,1) 651
s (122,1) 399
s (123,1) 683
s (124,1) 216
s (125,1) 527
s (126,1) 952
s (127,1) 423
s (128,1) 589
s (129,1) 600
s (130,1) 304
s (131,1) 91
s (132,1) 921
s (133,1) 676
s (134,1) 900
s (135,1) 763
s (136,1) 614
s (137,1) 415
s (138,1) 248
s (139,1) 511
s (140,1) 490
s (141,1) 374
s (142,1) 598
s (143,1) 695
s (144,1) 229
s (145,1) 315
s (146,1) 51
s (147,1) 536
s (148,1) 129
s (149,1) 386
s (150,1) 566
s (151,1) 201
s (152,1) 962
s (153,1) 327
s (154,1) 997
s (155,1) 954
s (156,1) 652
s (157,1) 185
s (158,1) 752
s (159,1) 226
s (160,1) 332
s (161,1) 231
s (162,1) 110
s (163,1) 818
s (164,1) 575
s (165,1) 982
s (166,1) 246
s (167,1) 140
s (168,1) 30
s (169,1) 12
s (170,1) 510
s (171,1) 34
s (172,1) 843
s (173,1) 524
s (174,1) 183
s (175,1) 644
s (176,1) 797
s (177,1) 950
s (178,1) 434
s (179,1) 418
s (180,1) 767
s (181,1) 258
s (182,1) 275
s (183,1) 785
s (184,1) 616
s (185,1) 505
s (186,1) 292
s (187,1) 526
s (188,1) 131
s (189,1) 424
s (190,1) 13
s (191,1) 389
s (192,1) 486
s (193,1) 194
s (194,1) 870
s (195,1) 492
s (196,1) 815
s (197,1) 665
s (198,1) 343
s (199,1) 657
s (200,1) 107
s (201,1) 521
s (202,1) 999
s (203,1) 876
s (204,1) 824
s (205,1) 833
s (206,1) 464
s (207,1) 658
s (208,1) 162
s (209,1) 223
s (210,1) 540
s (211,1) 328
s (212,1) 163
s (213,1) 582
s (214,1) 753
s (215,1) 944
s (216,1) 323
s (217,1) 599
s (218,1) 223
s (219,1) 515
s (220,1) 832
s (221,1) 193
s (222,1) 123
s (223,1) 723
s (224,1) 846
s (225,1) 878
s (226,1) 876
s (227,1) 156
s (228,1) 471
s (229,1) 796
s (230,1) 522
s (231,1) 182
s (232,1) 486
s (233,1) 916
s (234,1) 126
