s (1,1) 13
s (2,1) 89
s (3,1) 56
s (4,1) 64
s (5,1) 27
s (6,1) 14
s (7,1) 76
s (8,1) 72
s (9,1) 41
s (10,1) 56
s (11,1) 7
s (12,1) 4
s (13,1) 75
s (14,1) 26
s (15,1) 7
s (16,1) 68
s (17,1) 57
s (18,1) 10
s (19,1) 77
s (20,1) 3
s (21,1) 57
s (22,1) 23
s (23,1) 76
s (24,1) 91
s (25,1) 44
s (26,1) 69
s (27,1) 9
s (28,1) 54
s (29,1) 93
s (30,1) 88
s (31,1) 80
s (32,1) 11
s (33,1) 3
s (34,1) 28
s (35,1) 42
s (36,1) 76
s (37,1) 28
s (38,1) 29
s (39,1) 62
s (40,1) 44
s (41,1) 95
s (42,1) 72
s (43,1) 31
s (44,1) 2
s (45,1) 23
s (46,1) 3
s (47,1) 11
s (48,1) 80
s (49,1) 36
s (50,1) 23
s (51,1) 19
s (52,1) 41
s (53,1) 11
s (54,1) 3
s (55,1) 39
s (56,1) 74
s (57,1) 48
s (58,1) 100
s (59,1) 97
s (60,1) 76
s (61,1) 96
s (62,1) 8
s (63,1) 94
s (64,1) 18
s (65,1) 61
s (66,1) 3
s (67,1) 32
s (68,1) 65
s (69,1) 56
s (70,1) 19
s (71,1) 68
s (72,1) 44
s (73,1) 58
s (74,1) 52
s (75,1) 55
s (76,1) 73
s (77,1) 88
s (78,1) 91
s (79,1) 33
s (80,1) 34
s (81,1) 30
s (82,1) 85
s (83,1) 62
s (84,1) 58
s (85,1) 40
s (86,1) 83
s (87,1) 56
s (88,1) 80
s (89,1) 63
s (90,1) 9
s (91,1) 27
s (92,1) 23
s (93,1) 34
s (94,1) 100
s (95,1) 63
s (96,1) 55
s (97,1) 68
s (98,1) 46
s (99,1) 45
s (100,1) 24
s (101,1) 38
s (102,1) 90
s (103,1) 53
s (104,1) 16
s (105,1) 58
s (106,1) 68
s (107,1) 28
s (108,1) 12
s (109,1) 80
s (110,1) 30
s (111,1) 15
s (112,1) 64
s (113,1) 98
s (114,1) 76
s (115,1) 74
s (116,1) 56
s (117,1) 55
s (118,1) 10
s (119,1) 47
s (120,1) 76
s (121,1) 65
s (122,1) 17
s (123,1) 27
s (124,1) 18
s (125,1) 71
s (126,1) 26
s (127,1) 52
s (128,1) 99
s (129,1) 90
s (130,1) 15
s (131,1) 29
s (132,1) 88
s (133,1) 64
s (134,1) 35
s (135,1) 83
s (136,1) 69
s (137,1) 39
s (138,1) 49
s (139,1) 40
s (140,1) 45
s (141,1) 32
s (142,1) 35
s (143,1) 90
s (144,1) 40
s (145,1) 80
s (146,1) 53
s (147,1) 67
s (148,1) 1
s (149,1) 85
s (150,1) 34
s (151,1) 52
s (152,1) 38
s (153,1) 86
s (154,1) 68
s (155,1) 53
s (156,1) 86
s (157,1) 32
s (158,1) 93
s (159,1) 94
s (160,1) 51
s (161,1) 49
s (162,1) 57
s (163,1) 40
s (164,1) 23
s (165,1) 18
s (166,1) 22
s (167,1) 16
s (168,1) 17
s (169,1) 6
s (170,1) 58
s (171,1) 57
s (172,1) 61
s (173,1) 35
s (174,1) 64
s (175,1) 14
s (176,1) 60
s (177,1) 60
s (178,1) 88
s (179,1) 66
s (180,1) 5
s (181,1) 49
s (182,1) 9
s (183,1) 91
s (184,1) 10
s (185,1) 58
s (186,1) 97
s (187,1) 77
s (188,1) 55
s (189,1) 37
s (190,1) 64
s (191,1) 84
s (192,1) 26
s (193,1) 43
s (194,1) 41
s (195,1) 11
s (196,1) 70
s (197,1) 9
s (198,1) 7
s (199,1) 73
s (200,1) 78
s (201,1) 9
s (202,1) 95
s (203,1) 38
s (204,1) 67
s (205,1) 10
s (206,1) 16
s (207,1) 10
s (208,1) 98
s (209,1) 34
s (210,1) 31
s (211,1) 57
s (212,1) 65
s (213,1) 68
s (214,1) 72
s (215,1) 83
s (216,1) 60
s (217,1) 45
s (218,1) 92
s (219,1) 80
s (220,1) 52
s (221,1) 57
s (222,1) 77
s (223,1) 4
s (224,1) 68
s (225,1) 50
s (226,1) 53
s (227,1) 45
s (228,1) 64
s (229,1) 5
s (230,1) 17
s (231,1) 98
s (232,1) 75
s (233,1) 61
s (234,1) 81
s (235,1) 88
s (236,1) 16
s (237,1) 76
s (238,1) 70
s (239,1) 43
s (240,1) 81
s (241,1) 46
s (242,1) 25
s (243,1) 7
s (244,1) 41
s (245,1) 65
s (246,1) 16
s (247,1) 65
s (248,1) 77
s (249,1) 96
s (250,1) 26
(1,1) (1,2) 45
(2,1) (2,2) 46
(3,1) (3,2) 52
(4,1) (4,2) 46
(5,1) (5,2) 28
(6,1) (6,2) 29
(7,1) (7,2) 72
(8,1) (8,2) 16
(9,1) (9,2) 42
(10,1) (10,2) 3
(11,1) (11,2) 69
(12,1) (12,2) 54
(13,1) (13,2) 46
(14,1) (14,2) 100
(15,1) (15,2) 74
(16,1) (16,2) 91
(17,1) (17,2) 58
(18,1) (18,2) 20
(19,1) (19,2) 51
(20,1) (20,2) 63
(21,1) (21,2) 54
(22,1) (22,2) 5
(23,1) (23,2) 36
(24,1) (24,2) 55
(25,1) (25,2) 5
(26,1) (26,2) 17
